state,district,district_clean
andaman and nicobar islands,nicobars,nicobars
andaman and nicobar islands,north and middle andaman,north and middle andaman
andaman and nicobar islands,south andaman,south andaman
andhra pradesh,srikakulam,srikakulam
andhra pradesh,vizianagaram,vizianagaram
andhra pradesh,visakhapatnam,visakhapatnam
andhra pradesh,east godavari,east godavari
andhra pradesh,west godavari,west godavari
andhra pradesh,krishna,krishna
andhra pradesh,guntur,guntur
andhra pradesh,prakasam,prakasam
andhra pradesh,nellore,nellore
andhra pradesh,ysr kadapa,ysr kadapa
andhra pradesh,kurnool,kurnool
andhra pradesh,anantapur,anantapur
andhra pradesh,chittoor,chittoor
arunachal pradesh,tawang,tawang
arunachal pradesh,west kameng,west kameng
arunachal pradesh,east kameng,east kameng
arunachal pradesh,papum pare,papum pare
arunachal pradesh,upper subansiri,upper subansiri
arunachal pradesh,upper siang,upper siang
arunachal pradesh,changlang,changlang
arunachal pradesh,lower subansiri,lower subansiri
arunachal pradesh,dibang valley,dibang valley
arunachal pradesh,lower dibang valley,lower dibang valley
arunachal pradesh,anjaw,anjaw
arunachal pradesh,east siang,east siang
arunachal pradesh,kra daadi,kra daadi
arunachal pradesh,kurung kumey,kurung kumey
arunachal pradesh,lohit,lohit
arunachal pradesh,longding,longding
arunachal pradesh,namsai,namsai
arunachal pradesh,siang,siang
arunachal pradesh,tirap,tirap
arunachal pradesh,west siang,west siang
assam,kokrajhar,kokrajhar
assam,goalpara,goalpara
assam,barpeta,barpeta
assam,marigaon,marigaon
assam,lakhimpur,lakhimpur
assam,dhemaji,dhemaji
assam,tinsukia,tinsukia
assam,dibrugarh,dibrugarh
assam,golaghat,golaghat
assam,dima hasao,dima hasao
assam,cachar,cachar
assam,karimganj,karimganj
assam,hailakandi,hailakandi
assam,bongaigaon,bongaigaon
assam,chirang,chirang
assam,kamrup,kamrup
assam,kamrup metropolitan,kamrup metropolitan
assam,nalbari,nalbari
assam,baksa,baksa
assam,darrang,darrang
assam,udalguri,udalguri
assam,biswanath,biswanath
assam,charaideo,charaideo
assam,dhubri,dhubri
assam,hojai,hojai
assam,jorhat,jorhat
assam,karbi anglong,karbi anglong
assam,majuli,majuli
assam,nagaon,nagaon
assam,sivasagar,sivasagar
assam,sonitpur,sonitpur
assam,south salmara mancachar,south salmara mancachar
assam,west karbi anglong,west karbi anglong
bihar,west champaran,west champaran
bihar,east champaran,east champaran
bihar,sheohar,sheohar
bihar,sitamarhi,sitamarhi
bihar,madhubani,madhubani
bihar,supaul,supaul
bihar,araria,araria
bihar,kishanganj,kishanganj
bihar,purnia,purnia
bihar,katihar,katihar
bihar,madhepura,madhepura
bihar,saharsa,saharsa
bihar,darbhanga,darbhanga
bihar,muzaffarpur,muzaffarpur
bihar,gopalganj,gopalganj
bihar,siwan,siwan
bihar,saran,saran
bihar,vaishali,vaishali
bihar,samastipur,samastipur
bihar,begusarai,begusarai
bihar,khagaria,khagaria
bihar,bhagalpur,bhagalpur
bihar,banka,banka
bihar,munger,munger
bihar,lakhisarai,lakhisarai
bihar,sheikhpura,sheikhpura
bihar,nalanda,nalanda
bihar,patna,patna
bihar,bhojpur,bhojpur
bihar,buxar,buxar
bihar,kaimur bhabua,kaimur bhabua
bihar,rohtas,rohtas
bihar,aurangabad,aurangabad
bihar,gaya,gaya
bihar,nawada,nawada
bihar,jamui,jamui
bihar,jehanabad,jehanabad
bihar,arwal,arwal
chandigarh,chandigarh,chandigarh
chhattisgarh,koriya,koriya
chhattisgarh,jashpur,jashpur
chhattisgarh,raigarh,raigarh
chhattisgarh,korba,korba
chhattisgarh,janjgir champa,janjgir champa
chhattisgarh,kabeerdham,kabeerdham
chhattisgarh,rajnandgaon,rajnandgaon
chhattisgarh,mahasamund,mahasamund
chhattisgarh,dhamtari,dhamtari
chhattisgarh,uttar bastar kanker,uttar bastar kanker
chhattisgarh,narayanpur,narayanpur
chhattisgarh,bijapur,bijapur
chhattisgarh,balod,balod
chhattisgarh,baloda bazar,baloda bazar
chhattisgarh,balrampur,balrampur
chhattisgarh,bastar,bastar
chhattisgarh,bemetara,bemetara
chhattisgarh,bilaspur,bilaspur
chhattisgarh,dantewada,dantewada
chhattisgarh,durg,durg
