district,state,child_stunting_rate,child_wasting_rate,child_underweight_rate,child_anemia_rate,women_anemia_rate,child_diarrhea_rate,child_ari_rate,safe_drinking_water_access,sanitation_access,electricity_access,clean_cooking_fuel_access,iodized_salt_usage,institutional_delivery_rate,full_immunization_rate,health_insurance_coverage,tobacco_use_women,tobacco_use_men,alcohol_use_women,alcohol_use_men,high_blood_sugar_women,high_blood_sugar_men,high_blood_pressure_women,high_blood_pressure_men,female_education_rate,overall_child_health_risk_score,basic_infrastructure_risk_score,lifestyle_disease_risk_score,chronic_disease_risk_score,healthcare_accessibility_score,district_overall_health_risk_score,district_risk_level,district_health_risk_rank,identified_health_risk_factors
nicobars,andaman and nicobar islands,21.6,15.7,24.6,37.75,38.3,5.7,1.8,98.8,83.5,97.9,56.9,99.4,97.8,64.2,2.7,30.85,76.8,3.8,56.849999999999994,13.1,15.4,34.849999999999994,42.8,78.0,21.6875,-78.73333333333333,42.075,26.537499999999998,54.9,6.650833333333334,High,287.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
north and middle andaman,andaman and nicobar islands,27.0,27.0,42.8,37.75,62.1,4.5,7.0,92.2,86.4,93.2,61.3,99.9,97.7,78.1,2.1,30.85,70.5,3.8,45.3,16.7,18.3,27.4,32.2,82.7,30.2425,-78.96666666666668,37.6125,23.65,59.300000000000004,8.556166666666664,High,184.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
south andaman,andaman and nicobar islands,21.1,12.6,17.4,43.4,57.7,6.0,0.0,97.9,89.3,99.6,91.9,99.7,99.5,76.3,1.2,19.6,50.8,1.7,32.8,18.4,18.1,23.0,26.9,84.7,22.655,-92.03333333333335,26.225,21.6,59.0,0.2203333333333326,Low,633.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
srikakulam,andhra pradesh,19.7,19.5,21.4,59.6,62.6,11.9,1.3,87.7,71.6,99.9,74.7,86.6,97.9,82.8,75.6,7.1,21.3,0.6,28.3,17.4,17.6,22.1,22.9,60.0,27.580000000000002,-77.0,14.325000000000001,20.0,85.43333333333332,2.4970000000000017,High,530.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
vizianagaram,andhra pradesh,36.4,19.2,32.2,66.7,64.0,7.5,1.4,93.1,61.7,99.5,60.3,86.6,99.0,76.8,76.7,11.4,21.5,0.8,32.3,14.3,14.5,25.2,25.1,56.0,34.105000000000004,-70.7,16.499999999999996,19.775000000000002,84.16666666666667,6.757000000000002,High,281.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
visakhapatnam,andhra pradesh,31.0,21.5,33.5,72.6,58.0,8.1,2.0,91.8,77.8,99.6,72.9,86.6,95.3,76.5,64.9,6.3,22.8,1.3,30.2,17.0,18.2,23.9,29.2,66.8,33.7,-79.83333333333333,15.149999999999999,22.075000000000003,78.9,4.958333333333336,High,400.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
east godavari,andhra pradesh,23.1,14.3,22.4,66.8,63.0,13.3,2.2,97.9,77.7,98.8,80.3,86.6,96.6,59.0,66.4,3.2,25.5,0.7,25.9,21.7,27.474999999999998,29.0,32.2,75.4,29.15,-84.30000000000001,13.825,27.59375,74.0,3.083749999999998,High,501.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
west godavari,andhra pradesh,31.4,11.7,22.5,62.3,63.0,2.7,1.0,99.1,80.8,99.3,86.8,86.6,98.7,80.0,67.6,2.2,21.8,0.2,23.6,23.8,18.9,28.8,31.4,75.4,28.995,-87.89999999999999,11.950000000000001,25.724999999999998,82.1,1.5530000000000022,High,575.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
krishna,andhra pradesh,29.8,14.3,21.1,65.7,60.3,7.8,2.4,94.4,79.1,99.6,89.8,87.5,98.9,90.0,68.1,1.4,21.3,0.4,22.8,23.3,22.5,24.0,28.5,74.0,29.665000000000003,-86.76666666666667,11.475,24.575,85.66666666666667,1.7226666666666661,High,564.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
guntur,andhra pradesh,23.8,17.8,26.9,59.3,59.5,10.0,1.0,99.3,83.4,99.2,91.7,86.6,98.6,76.2,71.1,1.6,25.4,0.2,24.5,22.7,25.9,25.8,31.3,64.9,28.6,-90.46666666666665,12.925,26.424999999999997,81.96666666666667,1.2166666666666721,High,591.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
prakasam,andhra pradesh,22.6,8.7,24.7,62.6,60.4,7.9,2.9,98.6,78.4,99.3,90.8,86.6,97.4,51.9,67.6,2.2,28.2,0.3,19.0,23.2,27.474999999999998,27.8,33.0,58.1,27.169999999999998,-88.26666666666667,12.424999999999999,27.86875,72.3,1.2734166666666678,High,587.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
nellore,andhra pradesh,29.2,17.2,27.8,67.5,59.4,8.9,3.9,95.6,81.8,99.1,84.6,86.6,97.0,65.3,72.3,4.4,26.5,0.3,25.9,21.8,21.1,23.0,25.1,67.9,31.395,-86.33333333333333,14.274999999999999,22.75,78.2,2.696333333333334,High,513.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
ysr kadapa,andhra pradesh,34.4,14.1,26.7,60.6,56.1,5.9,2.3,99.9,85.4,99.8,94.3,86.6,99.4,83.0,73.3,3.1,18.0,0.2,16.0,18.4,22.3,23.2,27.3,61.9,30.24,-92.2,9.325000000000001,22.8,85.23333333333333,0.08099999999999952,Low,636.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
kurnool,andhra pradesh,50.5,16.7,46.3,70.8,58.6,4.5,4.2,97.9,73.5,99.9,78.1,86.6,88.5,67.0,73.3,2.1,19.9,0.4,20.0,15.1,20.6,27.0,31.8,55.2,39.425000000000004,-82.16666666666667,10.6,23.625,76.26666666666667,6.18166666666667,High,317.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
anantapur,andhra pradesh,36.0,19.3,40.6,55.8,50.5,2.5,2.6,98.8,71.3,99.6,86.4,88.6,94.7,81.8,73.2,5.0,20.5,0.6,16.8,14.2,16.8,23.4,26.7,59.5,31.915,-84.5,10.725,20.275,83.23333333333333,2.0659999999999976,High,549.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
chittoor,andhra pradesh,27.1,14.8,27.9,54.9,51.8,4.8,3.1,98.5,74.6,99.7,86.6,86.6,97.1,66.6,70.7,4.3,18.7,0.4,18.3,17.2,22.4,22.7,27.1,65.6,27.384999999999998,-85.56666666666666,10.424999999999999,22.349999999999998,78.13333333333333,0.39566666666666706,Medium,629.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
tawang,arunachal pradesh,30.4,7.1,9.0,89.6,59.1,14.8,6.2,99.8,81.7,99.7,88.1,99.9,84.2,67.5,33.5,5.1,24.0,3.8,43.2,4.5,8.5,30.3,36.4,59.3,31.465,-88.86666666666667,19.025000000000002,19.925,61.73333333333333,2.6026666666666642,High,524.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
west kameng,arunachal pradesh,24.2,23.2,13.4,66.6,37.4,10.0,2.5,99.8,88.9,97.5,88.9,98.9,93.6,56.2,38.3,13.9,38.7,3.8,45.9,4.7,10.0,19.8,30.7,73.0,26.519999999999996,-91.53333333333335,25.575,16.3,62.70000000000001,0.6763333333333308,High,617.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
