state,disease,cases,deaths,start_date,report_date,status,year,month,week,district,day_of_week,is_weekend,cases_lag_1,cases_lag_2,cases_lag_3,cases_rolling_mean_3,cases_rolling_mean_5,case_change,case_growth_rate,spike_flag,death_rate,severity_score,disease_frequency,recent_trend,disease_risk_score,top_disease,top_disease_total_cases,top_disease_total_deaths,avg_severity_score,total_spikes,is_top_disease,enhanced_disease_risk_score,disease_trend
madhya pradesh,acute diarrheal disease,0.021929824561403508,0.0,2025-01-16,2025-01-16,cases of loose motion and vomiting were reported from village borwa sub-district thandla district jhabua. district rrt investigated the outbreak. house to house survey was done. medicine and ors packets were given to cases. cases were in the age group 0-10 years. 2 stool samples and 1 water sample were sent to dphl indore for microscopy. the stool samples tested negative and water samples were found to be satisfactory. chlorination of water sources was done. community awareness and health education given by the peripheral team on safe drinking water hygiene and sanitation.,2025,1,3,jhabua,3,0,0.0,,,0.022918258212375857,0.022918258212375857,0.3727144866385373,0.3256925477955521,0,0.0,0.02192982456140351,0.07142857142857142,-0.0009884336509723493,0.07829640429595253,acute diarrheal disease,0.008,0.0,0.0056,0,1,0.08681770755409789,Stable
west bengal,hepatitis,0.10745614035087718,0.0,2025-01-19,2025-01-19,cases were reported from villages kuldoba and baghakhuli sub-district simlapal district bankura. cases presented with loss of appetite anorexia and abdominal pain. district rrt investigated the outbreak. cases were treated at a medical camp organized in the affected area. chlorination of water sources was done. majority of the cases were below 20 years of age. all 10 serum samples collected and sent to stm kolkata tested positive for hepatitis a igm elisa. pipeline leakages were repaired by phed. chlorination of water source was done. community awareness and health education given by the peripheral team on safe drinking water hygiene and sanitation.,2025,1,3,bankura,6,1,0.0,,,0.1122994652406417,0.1122994652406417,0.3727144866385373,0.3256925477955521,0,0.0,0.1074561403508772,0.07142857142857142,-0.004843324889764522,0.12961219376963673,hepatitis,0.0392,0.0,0.027439999999999996,0,1,0.1295808654488347,Stable
karnataka,measles,0.05701754385964913,0.0,2025-06-29,2025-06-29,cases were reported from lamani tanda and siddha colony of mudhol city of the uphc mudhol in mudhol taluk district bagalkot. cases present with symptoms of fever with rash. district rrt investigated the outbreak. cases were among children under the age group of 12 years. 5 serum samples and 2 throat swabs were sent to niv bangalore for virus isolation. 3 serum samples tested positive for measles igm elisa. among the children 11 were immunized 6 were not immunized for measles and immunization status was unknown in 10. vitamin a supplementation was administered to all 27 affected children. 158 children aged between 9 months to 10 years were vaccinated against measles on 02/08/2025. iec activities on measles prevention were conducted.,2025,6,26,bagalkot,6,1,0.0,,,0.059587471352177235,0.059587471352177235,0.3727144866385373,0.3256925477955521,0,0.0,0.057017543859649134,0.07142857142857142,-0.002569927492528108,0.0993490358748999,measles,0.020800000000000003,0.0,0.01456,0,1,0.10436156720322069,Stable
punjab,hepatitis,0.028508771929824556,0.0,2025-07-02,2025-07-02,cases of loss of appetite nausea and yellow colored urine were reported from village kaunke kalan block hathur sub-district jagraon district ludhiana. district rrt investigated the outbreak. house to house survey was done. cases were treated at phc kaunkekalan. cases were in the age group 7- 19 years. out of 14 blood samples collected and sent to gmc patiala 5 samples tested positive for hepatitis a igm elisa. chlorination of water sources was done. community awareness and health education given by the peripheral team on safe drinking water and food habits hygiene and sanitation.,2025,7,27,ludhiana,2,0,0.0,,,0.029793735676088614,0.029793735676088614,0.3727144866385373,0.3256925477955521,0,0.0,0.028508771929824563,0.07142857142857142,-0.0012849637462640576,0.08224377271700516,food poisoning,0.09840000000000002,0.0,0.06888000000000001,0,0,0.09010718123830842,Stable
arunachal pradesh,typhoid,0.16885964912280702,0.0,2025-07-08,2025-07-08,cases were reported from township chownkham sub-district chownkham eac district namsai. cases presented with symptoms of fever headache fatigue & stomach pain. district rrt investigated the outbreak. the affected age group was 6 to 78 years of age. 78 blood samples were collected and sent to district hospital namsai of which 47 tested positive for s. typhi by widal test. community awareness and health education given by the peripheral team on hygiene maintenance use of safe water and sanitation.,2025,7,28,namsai,1,0,0.0,,,0.1764705882352941,0.1764705882352941,0.3727144866385373,0.3256925477955521,0,0.0,0.16885964912280704,0.07142857142857142,-0.007610939112487086,0.16645429903279463,dengue,0.0776,0.0,0.05432,0,0,0.16028261983479963,Stable
meghalaya,human rabies,0.0,0.14285714285714285,2025-07-12,2025-07-12,a case was reported from village chidimit namesa phc dagal sub-district songsak district east garo hills. a 31-year-old male presented with symptoms of fever headache muscle spasms aerophobia hyper salivation insomnia and hydrophobia. the case was clinically diagnosed as rabies. based on history the exposure occurred approximately five months prior but the patient did not seek care or initiate treatment from any health facility. the patient was admitted to williamnagar civil hospital on 7th july 2025 and succumbed to the illness on 10th july 2025. district rrt investigated the outbreak. as a precautionary measure family members who were involved in patient care were advised to undergo post- exposure prophylaxis pep. additionally iec activities were conducted including a public health awareness campaign in the presence of the local headman in collaboration with the district veterinary department which organized a mass awareness programme in chidimit namesa village.,2025,7,28,east garo hills,5,1,0.0,,,0.0,0.0,0.3727144866385373,0.3256925477955521,0,0.14845714285714282,0.04699248120300752,0.07142857142857142,0.0,0.07453700579971193,human rabies,0.0,0.04,0.012,0,1,0.08290166745384726,Stable
kerala,undifferentiated fever,0.1842105263157895,0.0,2025-07-14,2025-07-14,cases of fever less than 7 days headache and myalgia were reported from village vadasserikkara kap-5 police battalion ward 8 chc ranny perunad district pathanamthitta. district rrt investigated the outbreak. cases were treated at chc ranny perunad and ranni taluk hospital. 2 throat swab samples collected and sent to niv alappuzha tested positive for influenza a h3n2. cases were in the age group 24-51 years. health education given to the trainees in the camp by the district surveillance officer on spread of influenza and preventive measures hygiene and sanitation.,2025,7,29,pathanamthitta,0,0,0.0,,,0.19251336898395724,0.19251336898395724,0.3727144866385373,0.3256925477955521,0,0.0,0.18421052631578952,0.07142857142857142,-0.008302842668167748,0.17566482534858413,undifferentiated fever,0.06720000000000001,0.0,0.047040000000000005,0,1,0.16795805843129086,Stable
karnataka,undifferentiated fever,0.050438596491228074,0.0,2025-07-16,2025-07-16,cases of fever with rash cough and cold were reported from village addada & bomlapura sub-district koppa district chikkamagaluru. district rrt investigated the outbreak. cases were students of prabhodhini gurukula school. cases were treated at th koppa. cases were in the age group 6-18 years. 5 serum samples collected and sent to hims hassan tested negative for measles rubella igm elisa. 13 serum samples collected and sent to dphl chikkamagalur tested negative for dengue ns1 elisa. source reduction activities were done. community awareness and health education given by the peripheral team on vector control measures hygiene and sanitation.,2025,7,29,chikmagalur,2,0,0.0,,,0.05271199388846448,0.05271199388846448,0.3727144866385373,0.3256925477955521,0,0.0,0.05043859649122808,0.07142857142857142,-0.002273397397236407,0.09540166745384727,undifferentiated fever,0.018400000000000003,0.0,0.01288,0,1,0.10107209351901017,Stable
madhya pradesh,acute diarrheal disease,0.041666666666666664,0.0,2025-07-16,2025-07-16,cases of loose motion and vomiting were reported from village butwa phc khatai sub-district karahal district singrauli. district rrt investigated the outbreak. house to house survey was done. cases were treated symptomatically. cases were in the age group 2-70 years.community awareness and health education given by the peripheral team on hygiene and sanitation.,2025,7,29,singrauli,2,0,0.0,,,0.04354469060351413,0.04354469060351413,0.3727144866385373,0.3256925477955521,0,0.0,0.04166666666666667,0.07142857142857142,-0.0018780239368474672,0.09013850955911042,acute diarrheal disease,0.0152,0.0,0.01064,0,1,0.09668612860672948,Stable
himachal pradesh,acute diarrheal disease,0.07456140350877193,0.0,2025-07-21,2025-07-21,cases were reported from village behl 111 sub-district balh district mandi. cases presented with loose motions and vomiting. district rrt investigated the outbreak. cases were treated symptomatically. cases were in the age group 4-85 years. out of 2 water samples collected and tested at slbsg mch nerchowk 1 sample was non-potable. 2 stool samples collected showed growth of klebsiella species. chlorine tablets were distributed to households. community awareness and health education was conducted regarding hand washing use of boiled water for drinking purpose ors preparation hygiene and sanitation.,2025,7,30,mandi,0,0,0.0,,,0.07792207792207792,0.07792207792207792,0.3727144866385373,0.3256925477955521,0,0.0,0.07456140350877194,0.07142857142857142,-0.0033606744133059946,0.10987535166437358,hepatitis,0.1824,0.0,0.06384000000000001,0,0,0.11313349702778211,Stable
